rxns,mediumMaxUptake
EX_Lcystin[e],-0.002732606
EX_ala_L[e],-0.001357123
EX_arg_L[e],-0.005416958
EX_ascb_L[e],-0.000126692
EX_asn_L[e],-0.001357262
EX_asp_L[e],-0.001357475
EX_ca2[e],-0.024595852
EX_chol[e],-0.000389198
EX_cl[e],-1.634875069
EX_fe3[e],-1.01E-05
EX_fol[e],-0.000123108
EX_glc_D[e],-0.433578513
EX_glu_L[e],-0.001357295
EX_gly[e],-0.006786145
EX_h2o[e],-0.013570952
EX_h[e],-0.107713356
EX_hco3[e],-2.086078616
EX_his_L[e],-0.002721787
EX_ile_L[e],-0.010874594
EX_inost[e],-0.000542916
EX_k[e],-0.072890449
EX_leu_L[e],-0.010874594
EX_lys_L[e],-0.010859041
EX_met_L[e],-0.002731377
EX_mg2[e],-0.011023036
EX_na1[e],-2.115988202
EX_ncam[e],-0.000444971
EX_phe_L[e],-0.005427733
EX_pi[e],-0.019217414
EX_pnto_R[e],-0.00011404
EX_pro_L[e],-0.001356962
EX_pydxn[e],-0.000264247
EX_ribflv[e],-1.44E-05
EX_ser_L[e],-0.006786662
EX_so4[e],-0.011023036
EX_thm[e],-0.000161102
EX_thr_L[e],-0.010834209
EX_trp_L[e],-0.001064339
EX_tyr_L[e],-0.005409432
EX_val_L[e],-0.010900435
EX_o2[e],-0.005
EX_co2[e],-1
EX_lnlc[e],-1
EX_lnlnca[e],-1